,recent_team,season,receiving_epa_mean_receive_non_qb,mean_non_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_non_qb,median_non_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_non_qb,mean_non_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_non_qb,median_non_qb_rushing_offensive_epa_per_week,season_pass_non_qb,passing_epa_mean_pass_non_qb,mean_non_qb_passing_offensive_epa_per_week,passing_epa_median_pass_non_qb,median_non_qb_passing_offensive_epa_per_week,week_non_qb,number_weeks_played_in_time_period_non_qb,mean_non_qb_offensive_epa_per_week,median_non_qb_offensive_epa_per_week,receiving_epa_mean_receive_qb,mean_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_qb,median_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_qb,mean_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_qb,median_qb_rushing_offensive_epa_per_week,season_pass_qb,passing_epa_mean_pass_qb,mean_qb_passing_offensive_epa_per_week,passing_epa_median_pass_qb,median_qb_passing_offensive_epa_per_week,week_qb,number_weeks_played_in_time_period_qb,mean_qb_offensive_epa_per_week,median_qb_offensive_epa_per_week,mean_passing_offensive_epa_per_week,median_passing_offensive_epa_per_week,mean_receiving_offensive_epa_per_week,median_receiving_offensive_epa_per_week,mean_rushing_offensive_epa_per_week,median_rushing_offensive_epa_per_week,mean_offensive_epa_per_week,median_offensive_epa_per_week
10,CIN,2022,9.786902,9.786902,4.792124,4.792124,-2.9549787,-2.9549787,-2.407683,-2.407683,30330,-1.3003696,-1.3003696,-1.3003696,-1.3003696,120,120,5.5315537,1.0840714,0.0,0.0,0.0,0.0,0.7487093,0.7487093,0.3656587,0.3656587,4044.0,5.7074194,5.7074194,8.615869,8.615869,16.0,16.0,6.456129,8.981527,4.4070497,7.315499,9.786902,4.792124,-2.2062693,-2.0420241,11.987682,10.0655985
11,GB,2022,1.8437707,1.8437707,1.0846813,1.0846813,2.4834373,2.4834373,0.014954552,0.014954552,34374,0.0,0.0,0.0,0.0,143,143,4.327208,1.0996358,0.0,0.0,0.0,0.0,-0.54102117,-0.54102117,0.0,0.0,4044.0,0.5669608,0.5669608,0.9914792,0.9914792,20.0,20.0,0.025939643,0.9914792,0.5669608,0.9914792,1.8437707,1.0846813,1.9424162,0.014954552,4.3531475,2.091115
12,NYG,2022,6.4799566,6.4799566,4.205822,4.205822,-2.6244726,-2.6244726,-1.5404325,-1.5404325,36396,0.0,0.0,0.0,0.0,133,133,3.855484,2.6653895,0.0,0.0,0.0,0.0,7.023322,7.023322,5.493393,5.493393,4044.0,-0.9458405,-0.9458405,-1.5681586,-1.5681586,18.0,18.0,6.0774817,3.925234,-0.9458405,-1.5681586,6.4799566,4.205822,4.3988495,3.9529605,9.932966,6.590624
13,CAR,2022,0.6714969,0.6714969,2.0222697,2.0222697,2.354053,2.354053,-0.29534394,-0.29534394,28308,0.0,0.0,0.0,0.0,138,138,3.0255501,1.7269256,0.0,0.0,0.0,0.0,-1.0709852,-1.0709852,-1.3834169,-1.3834169,6066.0,1.2104042,1.2104042,3.9500484,3.9500484,12.0,12.0,0.13941932,2.5666316,1.2104042,3.9500484,0.6714969,2.0222697,1.2830678,-1.6787608,3.1649694,4.293557
14,MIA,2022,3.5895,3.5895,3.5403392,3.5403392,0.6851623,0.6851623,-1.2520317,-1.2520317,30330,-1.2526237,-1.2526237,-1.2526237,-1.2526237,144,144,3.0220385,1.0356839,0.0,0.0,0.0,0.0,0.20696509,0.20696509,0.67936575,0.67936575,4044.0,7.5665007,7.5665007,5.20345,5.20345,18.0,18.0,7.773466,5.882816,6.313877,3.9508266,3.5895,3.5403392,0.8921274,-0.5726659,10.795505,6.9185
15,ARI,2022,3.5374672,3.5374672,8.540028,8.540028,-3.9328105,-3.9328105,-4.0711346,-4.0711346,38418,2.864477,2.864477,2.864477,2.864477,129,129,2.4691336,7.3333693,0.0,0.0,0.0,0.0,0.40745282,0.40745282,-0.112865806,-0.112865806,4044.0,0.092781305,0.092781305,1.1732014,1.1732014,12.0,12.0,0.5002341,1.0603356,2.9572582,4.0376782,3.5374672,8.540028,-3.5253577,-4.1840005,2.9693677,8.393705
16,WAS,2022,2.7695637,2.7695637,2.4288552,2.4288552,-0.3493738,-0.3493738,0.47883385,0.47883385,28308,0.0,0.0,0.0,0.0,139,139,2.4201899,2.907689,0.0,0.0,0.0,0.0,-0.48796523,-0.48796523,0.0,0.0,2022.0,-1.4123325,-1.4123325,1.1429917,1.1429917,9.0,9.0,-1.9002978,1.1429917,-1.4123325,1.1429917,2.7695637,2.4288552,-0.83733904,0.47883385,0.5198921,4.0506806
17,LV,2022,5.0823703,5.0823703,4.213337,4.213337,-1.1987773,-1.1987773,-1.5204914,-1.5204914,26286,-1.7534145,-1.7534145,-1.7534145,-1.7534145,124,124,2.1301782,0.9394307,0.0,0.0,0.0,0.0,2.0512838,2.0512838,2.063398,2.063398,4044.0,4.1235228,4.1235228,5.1036477,5.1036477,17.0,17.0,6.1748066,7.1670456,2.3701081,3.350233,5.0823703,4.213337,0.8525065,0.5429065,8.304985,8.106476
18,NE,2022,7.1363626,7.1363626,5.5352907,5.5352907,-6.2652006,-6.2652006,-7.284042,-7.284042,28308,0.0,0.0,0.0,0.0,130,130,0.87116194,-1.7487512,-1.2425923,-1.2425923,-1.2425923,-1.2425923,-2.3269925,-2.3269925,-1.5626986,-1.5626986,6066.0,-2.3312747,-2.3312747,-2.3439784,-2.3439784,18.0,18.0,-5.90086,-5.149269,-2.3312747,-2.3439784,5.89377,4.2926984,-8.592194,-8.846741,-5.029698,-6.8980203
19,LAC,2022,8.517446,8.517446,9.718297,9.718297,-7.893784,-7.893784,-8.957247,-8.957247,36396,0.0,0.0,0.0,0.0,144,144,0.62366194,0.76105124,-1.393879,-1.393879,-1.393879,-1.393879,0.69393927,0.69393927,0.90538335,0.90538335,4044.0,0.5368947,0.5368947,0.61114,0.61114,18.0,18.0,-0.16304511,0.122644305,0.5368947,0.61114,7.1235666,8.324418,-7.199845,-8.051864,0.46061683,0.88369554
